PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3031,Financial Managers,detailed,27060,3.1,4.808,1.25,70.94,147560,1.3,36.18,46.98,63.79,86.63,#,75250,97720,132680,180200,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3051,Industrial Production Managers,detailed,7410,3.3,1.316,1.07,51.27,106640,1.8,25.66,33.39,45.2,62.46,85.39,53380,69450,94010,129920,177610,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3061,Purchasing Managers,detailed,3480,4.8,0.618,1.17,52.41,109020,2.3,22.45,33.61,48.92,67.04,82.3,46690,69910,101760,139440,171180,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,5810,5.1,1.032,1.3,45.59,94830,2.1,24.75,31.69,40.54,53.3,73.14,51480,65910,84330,110850,152140,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3111,Compensation and Benefits Managers,detailed,540,9.8,0.097,0.84,68,141440,3.2,34.06,46.08,64.76,85.16,#,70850,95850,134700,177140,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3121,Human Resources Managers,detailed,5550,3.5,0.986,1.11,62.78,130590,3.6,31.58,42.07,56.58,75.57,#,65680,87500,117690,157170,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3131,Training and Development Managers,detailed,1010,5.8,0.18,0.79,58.52,121720,2.8,30.79,38.84,53.74,70.97,#,64040,80790,111780,147620,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50,46.9,0.009,0.29,41.02,85320,5.9,28.73,32.14,35.61,41.05,72,59760,66860,74070,85390,149760,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9021,Construction Managers,detailed,9950,6,1.769,1.02,49.24,102410,2.4,26.22,33.86,45.14,60.95,78.43,54540,70420,93880,126770,163130,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,2080,7.4,0.369,1.09,30.21,62840,5.5,16.04,19.46,26.02,37.22,53.67,33370,40480,54130,77430,111630,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,5730,3.6,1.019,0.6,*,110420,1.3,*,*,*,*,*,79740,97340,112240,125190,144470,True,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9033,"Education Administrators, Postsecondary",detailed,4990,4.2,0.887,0.9,55.19,114800,3.3,28.63,37.03,48.78,67.23,89.81,59560,77030,101460,139830,186810,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9039,"Education Administrators, All Other",detailed,1490,13.4,0.264,1.14,55.34,115100,18.5,22.15,30.66,48.35,67.02,#,46070,63780,100560,139400,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9041,Architectural and Engineering Managers,detailed,9900,4.8,1.759,1.35,75.8,157670,2.3,43.88,55.74,71.11,#,#,91270,115930,147900,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9051,Food Service Managers,detailed,13460,4.6,2.393,1.64,24.2,50330,2.5,12.17,16.77,21.6,29.27,37.64,25320,34890,44930,60880,78280,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9061,Funeral Service Managers,detailed,140,21,0.026,0.43,30.35,63130,5.4,21.16,25.26,28.21,33.58,44.94,44010,52530,58680,69840,93460,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9081,Lodging Managers,detailed,1180,7.1,0.209,0.81,29.2,60730,3.9,15.22,20.36,26.28,33.38,41.68,31660,42350,54670,69430,86700,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9111,Medical and Health Services Managers,detailed,10710,5.8,1.903,0.83,55.25,114920,2.1,23.94,35.08,52.64,68.59,88.02,49800,72970,109500,142660,183080,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9121,Natural Sciences Managers,detailed,1580,12.4,0.281,0.73,71.46,148640,7.3,29.54,49.17,66.75,#,#,61440,102270,138840,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9131,Postmasters and Mail Superintendents,detailed,120,0,0.021,0.2,42.02,87410,2.4,33.37,37.84,41.95,45.13,52.87,69410,78700,87250,93880,109970,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,11320,6,2.011,1.59,35.17,73150,2.7,17.56,21.74,29.67,42.16,59.67,36520,45220,61700,87680,124110,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9151,Social and Community Service Managers,detailed,4970,6.4,0.883,1.02,37.06,77090,3.1,20.39,26.41,33.47,44.61,60.54,42410,54940,69620,92780,125920,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9161,Emergency Management Directors,detailed,190,15.9,0.034,0.48,55.67,115790,2.6,36,42.75,53.76,66.75,78.92,74890,88920,111810,138840,164160,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9199,"Managers, All Other",detailed,13380,3,2.378,0.87,62.65,130320,1.2,32.6,44.86,58.39,75.28,#,67800,93300,121460,156580,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-0000,Business and Financial Operations Occupations,major,328930,1.2,58.453,1.15,38.38,79840,0.6,18.65,25.32,34.54,46.44,60.67,38790,52670,71840,96590,126200,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,4480,8.4,0.797,8.31,56.17,116840,11.4,11.73,17.68,35.95,#,#,24400,36780,74780,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,370,24.9,0.065,0.74,30.72,63900,5.3,17.06,22.02,29.28,37.31,48.75,35490,45790,60910,77600,101400,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,7200,8,1.279,1.59,29.74,61860,4.3,13.32,18.11,26.05,36.07,49.21,27710,37670,54180,75020,102350,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,12940,2.9,2.3,1.09,33.41,69490,1.7,18.47,23.9,31.58,41.35,51.21,38420,49710,65690,86000,106530,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,10330,6.5,1.836,0.93,34.34,71430,1.6,20.51,26.06,33.8,40.77,48.79,42660,54210,70300,84800,101490,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,800,26.3,0.143,1.29,32.47,67550,4.1,20.36,23.98,30.6,38.83,49.93,42340,49870,63650,80770,103850,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1041,Compliance Officers,detailed,12060,3.8,2.144,1.15,36.5,75920,2.2,21.45,27.54,36.33,43.12,51.68,44620,57290,75570,89680,107500,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1051,Cost Estimators,detailed,8020,5.2,1.424,0.91,32.36,67320,1.8,16.23,21.23,29.59,41.66,52.16,33760,44150,61540,86660,108490,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1071,Human Resources Specialists,detailed,19950,3.1,3.545,1,35.09,72990,2.2,18.12,23.18,30.99,42.12,55.65,37690,48220,64460,87610,115750,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1075,Labor Relations Specialists,detailed,3880,10.9,0.689,1.2,39.88,82960,4,18.8,27.31,42.02,50.48,60.11,39100,56810,87390,105000,125040,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1081,Logisticians,detailed,5330,7.1,0.947,0.98,40.54,84320,1.5,24.78,30.73,40.3,49.59,58.71,51540,63930,83830,103150,122120,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1111,Management Analysts,detailed,29920,5.2,5.317,1.19,47.63,99080,2.3,24.69,32.04,42.6,56.19,76.89,51360,66640,88600,116880,159920,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,4000,5.4,0.711,1.12,27.37,56920,2.6,15.27,20.05,25.73,34.35,42.58,31760,41700,53520,71440,88560,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1131,Fundraisers,detailed,2010,10.2,0.358,0.79,33.08,68800,2.8,17.96,23.61,32.07,39,49.68,37360,49100,66700,81130,103320,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,3000,6.4,0.533,0.92,35.24,73300,3.1,21.32,26.69,33.41,41.9,53.36,44340,55510,69500,87160,110990,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1151,Training and Development Specialists,detailed,8100,6.6,1.439,0.78,31.73,66010,2.1,16.1,21.64,29.68,40.09,49.06,33480,45020,61730,83380,102040,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,30200,3.2,5.367,1.46,34.88,72540,1.4,16.09,21.74,31.09,43.62,59.98,33460,45220,64670,90730,124750,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1199,"Business Operations Specialists, All Other",detailed,46160,2.7,8.203,1.22,36.83,76610,1.2,17.68,25.04,34.53,46.53,59.14,36770,52080,71820,96780,123010,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2011,Accountants and Auditors,detailed,58850,2.9,10.458,1.18,37.75,78520,1.1,20.82,26.59,34.25,44.95,58.85,43310,55310,71240,93500,122400,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2021,Appraisers and Assessors of Real Estate,detailed,1850,16.8,0.328,0.75,38.15,79350,2.6,22.71,29.25,39.15,45.3,52.62,47240,60830,81440,94230,109440,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2031,Budget Analysts,detailed,3050,7.8,0.541,1.33,42.6,88600,2.1,27.12,33.4,41.97,51.06,60.12,56410,69460,87290,106210,125050,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2041,Credit Analysts,detailed,3030,7.5,0.539,1.05,40.61,84470,3.6,19.81,26.51,34.82,47.11,68.21,41210,55150,72420,98000,141870,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2051,Financial Analysts,detailed,11110,5.4,1.975,1.01,45.43,94500,1.6,26.91,32.79,41.65,53.68,67.6,55970,68200,86640,111650,140600,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2052,Personal Financial Advisors,detailed,9880,6.9,1.756,1.23,58.95,122610,4.2,18.39,28.9,44.85,78.4,#,38250,60110,93290,163080,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2053,Insurance Underwriters,detailed,2750,14.8,0.489,0.75,34.82,72420,4.2,19.11,24.38,31.1,43.84,55.77,39760,50720,64680,91190,116010,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2061,Financial Examiners,detailed,1810,6.3,0.322,1.01,43.61,90700,4,25.37,31.75,40.56,52.22,67.76,52770,66040,84370,108610,140940,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2071,Credit Counselors,detailed,1660,12.2,0.295,1.33,26.19,54480,3.9,16.22,19.11,23.44,28.81,41.98,33740,39750,48760,59930,87310,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2072,Loan Officers,detailed,15840,8.8,2.816,1.28,41.69,86720,2.8,19.49,25.36,37.14,52.5,70.91,40540,52750,77250,109190,147480,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1680,0.1,0.299,0.69,37.83,78690,1.7,22.89,28.18,35.55,48.87,55.13,47600,58620,73940,101640,114670,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2082,Tax Preparers,detailed,3860,19.4,0.685,1.31,26.24,54580,7.2,9.97,15.21,22.39,35.03,49.29,20740,31640,46570,72860,102530,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2099,"Financial Specialists, All Other",detailed,4810,6.3,0.854,0.93,35.61,74080,2.7,19.85,25,31.41,42.98,56.84,41290,52010,65330,89410,118220,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-0000,Computer and Mathematical Occupations,major,147390,1.9,26.192,0.9,43.82,91150,0.8,20.94,29.77,42.36,56.19,69.99,43550,61920,88100,116880,145570,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1111,Computer and Information Research Scientists,detailed,630,25.3,0.112,0.61,55.12,114660,6.3,27.48,41.05,53.92,68.6,82.58,57160,85380,112150,142700,171770,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1121,Computer Systems Analysts,detailed,17560,4.5,3.121,0.77,45.65,94950,1.6,23.64,34.55,45.04,56.4,68.37,49170,71870,93680,117310,142210,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1122,Information Security Analysts,detailed,2750,8.8,0.489,0.76,49.01,101950,1.4,29.16,39.69,48.39,58.2,71.8,60650,82550,100650,121050,149350,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1131,Computer Programmers,detailed,11780,6.4,2.093,1,43.54,90560,2,19.57,32.45,43.6,55.04,66.2,40700,67500,90690,114490,137700,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1132,"Software Developers, Applications",detailed,25130,4.8,4.465,0.82,52.75,109720,1.2,32.17,41.23,51.93,62.43,74.77,66920,85760,108020,129860,155520,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1133,"Software Developers, Systems Software",detailed,17900,7.1,3.18,1.12,56.47,117460,2.2,32.28,42.43,55.81,70.23,82.78,67150,88250,116080,146070,172170,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1134,Web Developers,detailed,7870,7.2,1.398,1.52,34.95,72700,1.8,17.41,23.09,32.23,44.76,56.83,36210,48030,67030,93100,118210,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1141,Database Administrators,detailed,4130,4.1,0.734,0.89,44.7,92980,1.5,23.27,31.38,45.14,56.77,67.42,48410,65280,93900,118090,140240,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1142,Network and Computer Systems Administrators,detailed,15030,3.7,2.671,0.98,41.32,85950,1.2,22.5,30.13,40.32,51.81,62.05,46800,62670,83870,107760,129060,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1143,Computer Network Architects,detailed,4070,10.6,0.723,0.68,56.67,117880,2.3,30.77,42.84,57.07,70.51,81.42,63990,89110,118710,146660,169340,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1151,Computer User Support Specialists,detailed,22220,4.4,3.948,0.93,27.86,57940,1.2,15.82,20.42,26.75,34.38,42.59,32910,42460,55640,71510,88590,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1152,Computer Network Support Specialists,detailed,6370,6.8,1.132,0.85,35.01,72820,1.9,18.93,25.83,33.68,43.21,54.4,39370,53730,70060,89890,113150,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1199,"Computer Occupations, All Other",detailed,6260,4.8,1.112,0.69,38.89,80890,1.7,17.74,25.61,36.67,49.7,62.51,36900,53260,76270,103380,130020,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2011,Actuaries,detailed,800,21.9,0.141,0.99,52.84,109910,2.6,30.35,38.6,50.09,65.95,77.22,63130,80290,104190,137170,160620,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2021,Mathematicians,detailed,130,12.6,0.024,1.03,46.77,97270,8.7,25.74,30.12,51.66,58.51,63.1,53550,62650,107450,121700,131250,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2031,Operations Research Analysts,detailed,3720,8.1,0.662,0.95,40.7,84660,1.7,22.97,29.84,40.27,49.43,60.07,47790,62070,83750,102800,124950,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2041,Statisticians,detailed,880,9.8,0.156,0.72,40.83,84940,3.1,22.63,29.27,38.97,49.41,61.29,47070,60890,81050,102760,127480,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-0000,Architecture and Engineering Occupations,major,105250,2.8,18.703,1.04,45.57,94780,1.3,23.71,31.68,43.05,57.7,73.04,49310,65900,89530,120020,151920,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1011,"Architects, Except Landscape and Naval",detailed,5130,9.3,0.912,1.34,47.31,98400,3.9,29.33,34.69,42.85,54.67,71.43,61010,72160,89140,113710,148580,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1012,Landscape Architects,detailed,1350,25.5,0.241,1.67,36.06,75010,4.8,24.27,27.61,33.66,44.32,54.69,50480,57430,70020,92190,113760,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1021,Cartographers and Photogrammetrists,detailed,550,17.1,0.098,1.13,33.46,69600,6.1,16.7,25.09,33.4,41.26,51.97,34740,52180,69460,85820,108100,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1022,Surveyors,detailed,1010,13.4,0.18,0.58,41.07,85420,2.5,29.03,34.49,41.73,46.87,54.33,60380,71750,86800,97490,113010,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2011,Aerospace Engineers,detailed,6130,11.9,1.09,2.24,60.01,124820,2.4,37.17,46.42,60.18,73.62,86.22,77310,96550,125160,153120,179340,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2021,Agricultural Engineers,detailed,**,**,**,**,43.17,89790,7.1,31.06,35.38,43.12,51.97,58.75,64610,73600,89680,108110,122200,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2031,Biomedical Engineers,detailed,1360,18.2,0.242,1.6,52.47,109140,7.3,27.59,35.75,45.56,58.76,#,57390,74370,94770,122230,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2041,Chemical Engineers,detailed,670,18.3,0.118,0.51,50.71,105480,3.4,28.5,36.66,46.09,63.85,83.76,59280,76250,95870,132810,174220,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2051,Civil Engineers,detailed,11480,5.4,2.039,1.02,48.87,101640,1.9,28.97,36.98,49.6,59.12,70.07,60260,76920,103160,122960,145740,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2061,Computer Hardware Engineers,detailed,4400,26.2,0.783,1.42,56.87,118300,3.9,32.34,43.13,55.99,70.89,85.13,67270,89710,116470,147450,177070,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2071,Electrical Engineers,detailed,6780,6.6,1.205,0.93,51.87,107890,2.6,31.54,37.53,50.65,65.02,77.24,65600,78060,105360,135230,160660,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2072,"Electronics Engineers, Except Computer",detailed,9160,8.8,1.628,1.66,55.28,114990,2,32.34,40.19,53.34,69.79,83.34,67270,83600,110950,145160,173350,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2081,Environmental Engineers,detailed,1930,11.3,0.343,0.9,53.15,110560,2.9,35.17,43.93,51.84,61.09,72.99,73150,91370,107830,127060,151820,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,990,10.9,0.175,0.97,48.97,101860,2.3,32.54,39.94,50.35,57.19,65.36,67680,83080,104730,118950,135940,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2112,Industrial Engineers,detailed,9700,4.9,1.724,0.96,48.57,101030,2,29.35,36.64,46.59,59,73.5,61060,76200,96910,122720,152880,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2131,Materials Engineers,detailed,1060,10.3,0.188,0.96,50.71,105480,4.1,28.07,36.91,49.31,63.23,75.26,58380,76770,102560,131520,156530,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2141,Mechanical Engineers,detailed,8880,7.7,1.578,0.78,47.37,98530,1.7,27.82,34.53,45.43,59.12,72.15,57860,71820,94490,122970,150070,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2171,Petroleum Engineers,detailed,**,**,**,**,69.37,144280,8.8,40.35,49.81,59.38,78.63,#,83930,103610,123500,163540,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2199,"Engineers, All Other",detailed,5140,6.5,0.913,1,51.07,106220,2.2,27.94,37.79,50.36,63,76.12,58120,78610,104740,131050,158330,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3011,Architectural and Civil Drafters,detailed,5490,9.3,0.975,1.41,27.94,58120,2.4,16.55,20.7,27.3,34.37,41.29,34430,43060,56790,71490,85880,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3012,Electrical and Electronics Drafters,detailed,**,**,**,**,29.14,60610,2.6,18.77,22.37,28.64,35.4,40.62,39040,46520,59570,73630,84490,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3013,Mechanical Drafters,detailed,1470,7.1,0.262,0.55,27.67,57560,1.9,16.9,20.92,26.07,33.47,41.48,35150,43510,54230,69620,86280,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3019,"Drafters, All Other",detailed,500,13.1,0.088,0.78,28.32,58910,4.8,16.84,20.22,25.87,35.61,45.06,35030,42050,53810,74070,93710,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3021,Aerospace Engineering and Operations Technicians,detailed,1050,19.5,0.187,2,35.74,74350,2.6,24.92,30.24,35.05,40.81,49.4,51830,62890,72910,84880,102760,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3022,Civil Engineering Technicians,detailed,2890,10,0.513,0.99,34.72,72230,4.2,19.11,27.25,34.34,43.33,48.88,39750,56690,71420,90130,101670,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3023,Electrical and Electronics Engineering Technicians,detailed,5950,5.7,1.057,1.05,30.03,62460,1.5,18.05,23.06,29.43,36.08,44.4,37550,47970,61210,75040,92350,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3024,Electro-Mechanical Technicians,detailed,720,17,0.128,1.2,25.21,52430,4.6,15.3,17.24,21.77,29.36,43.18,31820,35860,45270,61070,89820,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3025,Environmental Engineering Technicians,detailed,570,21.5,0.101,0.8,33.01,68660,5.3,19.36,25.12,29.18,38.05,53.4,40260,52260,60690,79140,111070,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3026,Industrial Engineering Technicians,detailed,1600,7.4,0.284,0.63,30.32,63070,2.1,17.07,21.74,27.97,37.61,48.29,35510,45210,58180,78230,100450,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3027,Mechanical Engineering Technicians,detailed,1820,16.2,0.324,0.91,30.5,63440,2.2,18.8,23.83,30.13,36.65,44.25,39090,49560,62670,76230,92050,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,2850,10.1,0.507,0.99,32.01,66580,1.9,18.78,23.72,31.26,39.46,47.26,39070,49330,65020,82070,98300,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3031,Surveying and Mapping Technicians,detailed,830,16.2,0.148,0.38,33.54,69760,4.6,20.38,27.29,33.85,41.27,47.1,42390,56770,70420,85830,97980,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",19-0000,"Life, Physical, and Social Science Occupations",major,47640,4.6,8.466,1.02,36.78,76510,1.9,17.1,23.42,34.2,46.88,58.78,35570,48700,71140,97520,122260,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",19-1012,Food Scientists and Technologists,detailed,600,28.5,0.106,1,34.75,72280,3.3,18.46,25.84,33.5,42.46,50.96,38390,53760,69670,88330,105990,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",19-1013,Soil and Plant Scientists,detailed,420,25.6,0.074,0.7,36.76,76450,12.3,16.8,23.23,35.72,44.97,61.58,34940,48330,74290,93530,128080,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",19-1021,Biochemists and Biophysicists,detailed,730,24.2,0.129,0.58,55.12,114650,9.2,26.78,34.11,46.28,66.71,#,55710,70960,96270,138750,#,,
